鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元/平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan/square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
新莊區,房地(土地+建物),新北市新莊區新泰路31~60號,10.75,商,,,1050925,土地2建物1車位0,十六層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040420,124.53999999999999,3,2,2,有,有,19600000,157379,,0.0,0,,RPUSMLMJJILFFBF28CA
新莊區,房地(土地+建物),新北市新莊區中原路271~300號,18.11,住,,,1051003,土地1建物1車位0,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0881103,107.03,3,2,2,有,有,11200000,104644,,0.0,0,含增建或未登記建物。;含增建或未登記建物。,RPUOMLOJJILFFBF08CA
新莊區,房地(土地+建物),新北市新莊區豐年街28巷1~30號,25.32,住,,,1050918,土地1建物1車位0,三層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660716,77.02,3,2,1,有,無,5020000,65178,,0.0,0,含增建或未登記建物。;含增建或未登記建物。,RPWOMLOJJILFFBF28CA
林口區,房地(土地+建物)+車位,新北市林口區麗園二街23巷61~90號,104.48,住,,,1050911,土地1建物1車位2,全,三層,透天厝,住家用,鋼筋混凝土造,0970401,234.81,4,2,3,有,有,16550000,70483,坡道平面,0.0,0,頂樓採光罩,RPOPMLRJJILFFBF87CA
新莊區,車位,新北市新莊區民安西路370至392391~420號,0.26,住,,,1051020,土地0建物0車位2,地下三層,二十一層,其他,見其他登記事項,鋼筋混凝土造,0850311,62.6,0,0,0,有,有,2100000,,坡道平面,0.0,2100000,,RPSPMLRJJILFFBF28CA
五股區,房地(土地+建物)+車位,新北市五股區登林路貿商巷1弄1~30號,28.48,住,,,1050926,土地2建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0910731,166.74,3,2,2,有,有,8650000,51877,坡道平面,0.0,0,,RPQRMLSJJILFFBF38CA
新莊區,房地(土地+建物)+車位,新北市新莊區西盛街323巷1~30號,20.27,住,,,1051007,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0800615,140.87,3,2,2,有,有,10000000,70987,坡道平面,20.67,0,,RPRNMLTJJILFFBF18CA
新莊區,房地(土地+建物),新北市新莊區中港路中慶巷1~30號,11.4,住,,,1050919,土地1建物1車位0,五層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0950829,83.66,2,1,1,有,無,7800000,93235,,0.0,0,,RPUQMLTJJILFFBF78CA
林口區,房地(土地+建物)+車位,新北市林口區中山路541~570號,24.78,住,,,1051005,土地1建物1車位2,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960910,206.11,4,2,2,有,有,13000000,63073,坡道平面,0.0,0,,RPQPMLKKJILFFBF47CA
新莊區,房地(土地+建物),新北市新莊區新北大道七段361~390號,4.97,住,,,1051021,土地2建物1車位0,十四層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880409,55.910000000000004,3,2,1,有,有,5180000,92649,,0.0,0,親友、員工或其他特殊關係間之交易。;親友間買賣,RPRQMLOKJILFFBF08CA
