鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元/平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan/square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
板橋區,土地,忠孝段1~30地號,5.28,其他,,,1051107,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1042357,197416,,0.0,0,(包含)公共設施保留地之交易。,RPPPMLSLJILFFAF18CA
板橋區,房地(土地+建物),新北市板橋區四川路二段245巷19弄1~30號,28.69,住,,,1050925,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,107.52,3,2,2,有,無,8950000,83240,,0.0,0,,RPUOMLLLJILFFAF87CA
板橋區,房地(土地+建物),新北市板橋區龍泉街121~150號,13.62,住,,,1050906,土地1建物1車位0,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840617,90.69,3,2,2,有,有,10800000,119087,,0.0,0,,RPPPMLSKJILFFAF08CA
板橋區,土地,新都段121~150地號,87.11,商,,,1051026,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,35573580,408375,,0.0,0,本土地為板橋江翠北側C區市地重劃,RPPNMLKLJILFFAF17CA
土城區,房地(土地+建物),新北市土城區國際路31~60號,19.08,住,,,1051017,土地2建物1車位0,二層，陽台,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0651002,47.44,2,1,1,有,無,2800000,59022,,0.0,0,,RPTNMLKLJILFFAF57CA
板橋區,房地(土地+建物)+車位,新北市板橋區光環路二段1~30號,28.85,住,,,1051015,土地1建物1車位1,七層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1021226,239.8,3,2,2,有,有,31180000,130025,坡道平面,23.42,0,,RPWNMLRKJILFFAF48CA
板橋區,房地(土地+建物),新北市板橋區陽明街70巷1~30號,28.0,住,,,1050819,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,109.14,4,2,2,有,無,11000000,100788,,0.0,0,含增建或未登記建物。;含增建或未登記建物。,RPXNMLRKJILFFAF58CA
板橋區,房地(土地+建物),新北市板橋區南雅南路二段121~150號,11.37,住,,,1051019,土地1建物1車位0,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000602,80.84,2,1,1,有,有,13650000,168852,,0.0,0,,RPOOMLRKJILFFAF77CA
土城區,房地(土地+建物),新北市土城區中央路一段211巷6弄1~30號,25.53,住,,,1051016,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720207,95.4,4,2,2,有,無,8000000,83857,,0.0,0,,RPQOMLSKJILFFAF08CA
板橋區,房地(土地+建物),新北市板橋區東興街61~90號,26.2,住,,,1050826,土地1建物1車位0,四層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,100.33,4,2,1,有,無,8700000,86714,,0.0,0,含增建或未登記建物。;共有人數2人。含增建或未登記建物。,RPSSMLRKJILFFAF58CA
板橋區,房地(土地+建物)+車位,新北市板橋區國光路31巷1~30號,32.93,住,,,1051021,土地1建物1車位1,三層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840323,176.14000000000001,3,2,2,有,有,20000000,113546,坡道平面,0.0,0,,RPPNMLSKJILFFAF87CA
板橋區,房地(土地+建物),新北市板橋區莊敬路31~60號,3.26,商,,,1051023,土地1建物1車位0,十四層,十九層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0870416,49.69,1,1,1,有,有,10010000,201449,,0.0,0,含增建或未登記建物。;含增建或未登記建物。,RPVNMLQKJILFFAF28CA
板橋區,房地(土地+建物),新北市板橋區縣民大道三段60巷1~30號,21.75,住,,,1050904,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670112,61.53,2,1,1,有,無,6600000,107265,,0.0,0,含增建或未登記建物。;含增建或未登記建物。,RPOPMLPKJILFFAF67CA
板橋區,房地(土地+建物)+車位,新北市板橋區廣和街61~90號,12.27,住,,,1050913,土地1建物1車位1,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971120,117.24000000000001,3,2,2,有,有,12700000,108325,坡道平面,20.71,0,含增建或未登記建物。;含增建或未登記建物。,RPRPMLPKJILFFAF97CA
板橋區,房地(土地+建物),新北市板橋區德興街37巷1~30號,54.8,商,,,1050923,土地3建物2車位0,一層，騎樓,五層,店面(店鋪),商業用,鋼筋混凝土造,,77.28,3,3,2,有,無,20000000,258799,,0.0,0,含增建或未登記建物。;本案二戶打通使用。含增建或未登記建物。,RPQOMLPKJILFFAF77CA
板橋區,房地(土地+建物)+車位,新北市板橋區華東街271~300號,13.42,住,,,1051009,土地2建物1車位1,二十二層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050205,156.83999999999997,3,2,2,有,無,24750000,170241,坡道平面,26.73,2600000,本案尚未成立管理委員會.,RPWOMLPKJILFFAF38CA
板橋區,房地(土地+建物)+車位,新北市板橋區華東街271~300號,10.23,住,,,1051102,土地2建物1車位1,二十層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050205,120.5,2,2,1,有,無,18200000,164908,坡道平面,22.87,2100000,本案尚未成立管理委員會.,RPRNMLQKJILFFAF87CA
板橋區,土地,幸福段121~150地號,93.5,其他,,,1051019,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13700000,146524,,0.0,0,(包含)公共設施保留地之交易。,RPPNMLQKJILFFAF67CA
板橋區,房地(土地+建物),新北市板橋區忠孝路190巷1~30號,17.24,住,,,1051101,土地1建物1車位0,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980904,132.74,3,2,2,有,有,19280000,145246,,0.0,0,,RPUNMLSKJILFFAF38CA
土城區,土地,柑林段91~120地號,323.86,其他,,,1051014,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2655611,8200,,0.0,0,親友、員工或其他特殊關係間之交易。;親友、員工或其他特殊關係間之交易。承買人共二人,RPVNMLSKJILFFAF48CA
板橋區,房地(土地+建物),新北市板橋區館前西路121~150號,11.96,商,,,1051007,土地6建物1車位0,十一層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,118.34,3,2,2,有,有,12800000,108163,,0.0,0,,RPRNMLRKJILFFAF97CA
土城區,房地(土地+建物),新北市土城區中央路一段352巷1~30號,33.0,住,,,1051009,土地4建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840213,153.85000000000002,3,2,2,有,有,11800000,76698,,0.0,0,,RPSPMLQKJILFFAF18CA
板橋區,車位,新北市板橋區忠孝路190巷1~30號,1.64,住,,,1051101,土地0建物0車位1,,,其他,,,,12.48,0,0,0,有,有,2000000,,坡道機械,12.48,2000000,,RPXPMLQKJILFFAF68CA
板橋區,房地(土地+建物),新北市板橋區南雅東路1~30號,3.96,商,,,1051004,土地1建物1車位0,八層,十一層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0861121,40.11,1,1,1,有,有,4370000,108950,,0.0,0,,RPVRMLRKJILFFAF78CA
土城區,房地(土地+建物)+車位,新北市土城區學成路91~120號,22.1,住,,,1021028,土地1建物1車位1,十三層,二十七層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050704,176.0,3,2,2,有,有,24380000,152303,坡道平面,26.43,1600000,,RPWNMLLLJILFFAF97CA
板橋區,房地(土地+建物),新北市板橋區溪崑一街30巷1~30號,31.81,住,,,1050924,土地1建物1車位0,三層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,105.93,6,0,6,有,無,9000000,84962,,0.0,0,套房隔間,RPQPMLSKJILFFAF18CA
板橋區,房地(土地+建物)+車位,新北市板橋區華東街271~300號,19.84,住,,,1051019,土地2建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980119,228.1,4,2,2,有,有,24600000,107847,坡道平面,39.1,0,,RPPOMLTLJILFFAF18CA
板橋區,房地(土地+建物),新北市板橋區長江路一段48巷2弄1~30號,31.8,住,,,1051005,土地3建物1車位0,四層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,91.36,4,2,1,有,無,7200000,78809,,0.0,0,,RPSNMLOLJILFFAF87CA
板橋區,房地(土地+建物)+車位,新北市板橋區金門街47巷1~30號,17.08,住,,,1051010,土地1建物1車位1,十一層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940621,131.43,3,2,2,有,有,10880000,82782,坡道平面,25.22,0,,RPUOMLSLJILFFAF58CA
板橋區,房地(土地+建物),新北市板橋區溪崑二街56巷1~30號,23.73,住,,,1051024,土地1建物1車位0,二層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,87.75,3,1,1,有,無,3210000,36581,,0.0,0,親友、員工或其他特殊關係間之交易。;親友、員工或其他特殊關係間之交易。,RPPPMLPLJILFFAF87CA
板橋區,房地(土地+建物),新北市板橋區滿平街84巷61~90號,25.31,住,,,1051016,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,82.52,4,0,4,有,無,7350000,89069,,0.0,0,含增建或未登記建物。;陽台外推,RPXOMLOLJILFFAF48CA
土城區,土地,頂福段1~30地號,102.09,住,,,1051021,土地13建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9820476,96194,,0.0,0,土地增值稅由買方負擔,RPQNMLPLJILFFAF77CA
土城區,土地,頂福段1~30地號,20.42,住,,,1051021,土地13建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1964095,96185,,0.0,0,土地增值稅由買方負擔,RPRNMLPLJILFFAF87CA
土城區,土地,頂福段1~30地號,20.42,住,,,1051021,土地13建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1964095,96185,,0.0,0,土地增值稅由買方負擔,RPSNMLPLJILFFAF97CA
土城區,土地,清水段601~630地號,34.0,其他,,,1051014,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5916000,174000,,0.0,0,本買賣土地係為公共設施保留地。,RPQOMLTJKILFFAF18CA
新莊區,房地(土地+建物)+車位,新北市新莊區福前街63巷1~30號,22.35,住,,,1051107,土地1建物1車位1,五層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050725,152.87,3,2,2,有,有,17100000,111860,坡道平面,42.68,0,,RPQQMLQKJILFFBF18CA
新莊區,房地(土地+建物),新北市新莊區中原東路91~120號,14.04,商,,,1051019,土地1建物1車位0,六層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050811,105.44999999999999,2,2,1,有,有,13900000,131816,,0.0,0,,RPPOMLSKJILFFBF08CA
新莊區,房地(土地+建物)+車位,新北市新莊區中原東路91~120號,14.2,商,,,1051007,土地1建物1車位1,七層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050811,148.81,2,2,1,有,有,14940000,121764,坡道平面,43.36,2100000,,RPSOMLSKJILFFBF38CA
新莊區,房地(土地+建物)+車位,新北市新莊區西盛街391~420號,19.93,住,,,1051031,土地1建物1車位1,六層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850326,143.34,4,2,2,有,有,10700000,74648,坡道平面,0.0,0,含增建或未登記建物。;總價含贈燈飾、熱水器、瓦斯爐、冷氣4台、廚具、流理台、排油煙機、天然瓦斯等傢俱。本買賣契約標的物之違章建築位置：其他未經申請建築執照之增改建：客廳、房間、陽台外推。,RPUOMLPLJILFFBF38CA
五股區,房地(土地+建物),新北市五股區中興路一段1巷1~30號,52.1,工,,,1050825,土地1建物1車位0,一層,三層,廠辦,工業用,鋼筋混凝土造,0740802,151.96,0,0,0,無,無,8500000,55936,,0.0,0,親友、員工或其他特殊關係間之交易。;1.親友、員工或其他特殊關係間之交易。,RPXOMLOLJILFFBF58CA
五股區,房地(土地+建物),新北市五股區中興路一段1巷1~30號,32.05,工,,,1050825,土地1建物1車位0,二層,三層,廠辦,見其他登記事項,鋼筋混凝土造,0740802,120.97,0,0,0,無,無,6500000,53732,,0.0,0,親友、員工或其他特殊關係間之交易。;1.親友、員工或其他特殊關係間之交易。,SPXOMLOLJILFFBF68CA
五股區,房地(土地+建物)+車位,新北市五股區六合街91~120號,69.94,住,,,1051101,土地3建物1車位1,一層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0970814,188.37,3,2,2,有,有,5481361,29099,坡道平面,0.0,0,土地及建物分次登記案件。前案土地登記收件字號：;國軍老舊眷村改建零星餘戶價售自願役官兵土地及建物分次登記案件。關聯件前案土地登記收件字號：併入申報,RPQOMLSLJILFFBF28CA
五股區,房地(土地+建物)+車位,新北市五股區六合街91~120號,69.94,住,,,1051101,土地3建物1車位1,一層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0970814,188.37,3,2,2,有,有,5481361,29099,坡道平面,0.0,0,土地及建物分次登記案件。前案土地登記收件字號：;國軍老舊眷村改建零星餘戶價售自願役 官兵土地及建物分次登記案件。關聯件前案土地登記收件字號：併入申報,RPVNMLSLJILFFBF68CA
五股區,房地(土地+建物)+車位,新北市五股區民義路一段181~210號,72.49,住,,,1051101,土地3建物1車位1,一層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0970612,193.92000000000002,3,2,2,有,有,5600122,28879,坡道平面,0.0,0,土地及建物分次登記案件。前案土地登記收件字號：;國軍老舊眷村改建零星餘戶價售自願役官兵土地及建物分次登記案件。關聯件前案土地登記收件字號：併入申報,RPTOMLSLJILFFBF58CA
新莊區,房地(土地+建物),新北市新莊區昌隆街61~90號,18.03,住,,,1050925,土地1建物1車位0,四層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680822,79.52,3,2,1,有,無,6700000,84256,,0.0,0,含增建或未登記建物。;含增建或未登記建物。,RPQOMLMLJILFFBF67CA
林口區,房地(土地+建物)+車位,新北市林口區中山路571~600號,15.85,住,,,1051018,土地1建物1車位1,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950705,124.58000000000001,2,2,1,有,有,8600000,69032,坡道平面,0.0,0,含增建或未登記建物。;含增建或未登記建物。(陽台外推),RPRQMLSKJILFFBF48CA
泰山區,房地(土地+建物),新北市泰山區明志路三段151~180號,9.31,商,,,1051011,土地1建物1車位0,四層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0900528,83.59,2,1,1,有,有,7200000,86135,,0.0,0,,RPPNMLLLJILFFBF37CA
新莊區,房地(土地+建物),新北市新莊區中港二街31~60號,18.78,住,,,1051102,土地1建物1車位0,一層，騎樓,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0620630,58.48,0,0,0,無,無,9150000,156464,,0.0,0,,RPPPMLSKJILFFBF18CA
新莊區,房地(土地+建物)+車位,新北市新莊區中原東路91~120號,19.26,商,,,1050914,土地1建物1車位1,五層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050811,186.87,3,2,1,有,有,18600000,114626,坡道平面,43.36,2150000,,RPTNMLSKJILFFBF38CA
新莊區,房地(土地+建物)+車位,新北市新莊區中原東路91~120號,10.83,商,,,1051012,土地1建物1車位1,六層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050811,121.52000000000001,1,1,1,有,有,11200000,115788,坡道平面,43.36,2150000,,RPVNMLSKJILFFBF58CA
新莊區,房地(土地+建物),新北市新莊區中原東路91~120號,10.66,商,,,1051012,土地1建物1車位0,十一層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050811,78.16,1,1,1,有,有,9920000,126919,,0.0,0,,RPWNMLSKJILFFBF68CA
新莊區,房地(土地+建物),新北市新莊區幸福路721~750號,21.72,住,,,1051005,土地1建物1車位0,五層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0790709,122.05,3,2,2,有,有,6000000,49160,,0.0,0,親友、員工或其他特殊關係間之交易。;親友、員工或其他特殊關係間之交易。,RPTSMLNKKILFFBF48CA
五股區,房地(土地+建物)+車位,新北市五股區西雲路91~120號,13.93,住,,,1050922,土地1建物1車位1,七層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0931007,110.45,2,2,1,有,有,6600000,59756,坡道平面,28.32,0,,RPXOMLOKKILFFBF58CA
林口區,房地(土地+建物)+車位,新北市林口區文林六街27巷1~30號,52.74,住,,,1050806,土地1建物1車位1,二層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050112,194.73000000000002,3,2,2,有,有,14800000,76003,坡道平面,24.55,0,,RPUPMLPJKILFFBF38CA
泰山區,房地(土地+建物),新北市泰山區明志路二段60巷1弄1~30號,23.7,住,,,1051001,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850817,103.58,3,1,1,有,有,8580000,82835,,0.0,0,,RPTOMLKLKILFFBF87CA
新店區,房地(土地+建物),新北市新店區二十張路33巷1~30號,30.95,住,,,1050824,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680721,83.02,3,2,2,有,無,11880000,143098,,0.0,0,含增建或未登記建物。;含增建或未登記建物。,RPQOMLPKJILFFCF97CA
新店區,房地(土地+建物)+車位,新北市新店區直潭七街1~30號,200.0,住,,,1051014,土地1建物1車位2,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1050114,336.44,2,1,3,有,有,41980000,124777,坡道平面,0.0,0,,RPUNMLRJKILFFCF48CA
新店區,土地,黎明段1~30地號,18.69,其他,,,1051102,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,339000,18138,,0.0,0,,RPSNMLSLJILFFCF48CA
新店區,土地,光明段361~390地號,11.22,其他,,,1051026,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1728400,154046,,0.0,0,公共設施保留地之交易。,RPPNMLMLJILFFCF57CA
新店區,房地(土地+建物),新北市新店區大榮路1~30號,393.91,住,,,1050921,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0850119,220.59,5,2,5,有,有,31688000,143651,,0.0,0,,RPWNMLMLJILFFCF28CA
新店區,房地(土地+建物)+車位,新北市新店區安忠路121~150號,99.8,,山坡地保育區,丙種建築用地,1050928,土地2建物1車位1,八層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840323,205.99,4,2,2,有,有,11680000,56699,坡道平面,0.0,0,含增建或未登記建物。;含增建或未登記建物。內含獨立產權公設，未包含在棟數內。,RPSNMLQKJILFFCF18CA
新店區,房地(土地+建物),新北市新店區五峰路63巷8弄61~90號,62.46,其他,,,1051010,土地4建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730528,103.86,2,2,2,有,有,8500000,81841,,0.0,0,含增建或未登記建物。;含增建或未登記建物。建物門牌路名特殊，以(峰)替代,RPOQMLQKJILFFCF08CA
新店區,房地(土地+建物),新北市新店區自立街31~60號,43.92,住,,,1051004,土地2建物1車位0,二層，騎樓,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0590403,93.11,3,2,1,有,無,10200000,109548,,0.0,0,,RPWQMLQKJILFFCF88CA
汐止區,車位,新北市汐止區康寧街751巷1~30號,4.11,其他,,,1051021,土地0建物0車位1,地下十三層,二十五層,其他,見其他登記事項,鋼筋混凝土造,0850718,36.81,0,0,0,有,有,700000,,坡道平面,36.81,700000,,RPTNMLPJKILFFDF28CA
汐止區,車位,新北市汐止區康寧街751巷1~30號,4.11,其他,,,1051021,土地0建物0車位1,地下十三層,二十五層,其他,見其他登記事項,鋼筋混凝土造,0850718,36.81,0,0,0,有,有,700000,,坡道平面,36.81,700000,,RPVNMLPJKILFFDF48CA
汐止區,房地(土地+建物)+車位,新北市汐止區福德一路86巷1~30號,19.51,住,,,1051027,土地1建物1車位1,一層,十四層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0860531,142.26,1,1,2,有,有,15800000,111064,坡道平面,0.0,0,,RPRNMLSKJILFFDF38CA
汐止區,房地(土地+建物)+車位,新北市汐止區樟樹二路91~120號,8.91,住,,,1050918,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050810,76.25999999999999,1,1,1,有,有,8880000,116444,坡道平面,19.82,0,,RPVNMLNKKILFFDF38CA
汐止區,房地(土地+建物)+車位,新北市汐止區樟樹二路91~120號,8.91,住,,,1050915,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050810,79.46000000000001,1,1,1,有,有,9380000,118047,坡道平面,23.03,0,,RPWNMLNKKILFFDF48CA
汐止區,房地(土地+建物)+車位,新北市汐止區樟樹二路31~60號,8.97,住,,,1050904,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050810,76.64,1,1,1,有,有,8910000,116258,坡道平面,19.82,0,,RPXNMLNKKILFFDF58CA
汐止區,房地(土地+建物)+車位,新北市汐止區樟樹二路61~90號,18.75,住,,,1051009,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050810,148.24,3,2,2,有,有,17000000,114679,坡道平面,23.03,0,,RPOOMLNKKILFFDF77CA
汐止區,房地(土地+建物)+車位,新北市汐止區樟樹二路61~90號,8.97,住,,,1051010,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050810,79.83000000000001,1,1,1,有,有,9760000,122260,坡道平面,23.03,0,,RPPOMLNKKILFFDF87CA
汐止區,房地(土地+建物)+車位,新北市汐止區樟樹二路31~60號,8.92,住,,,1051010,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050810,79.46000000000001,1,1,1,有,有,8800000,110748,坡道平面,23.03,0,,RPSOMLNKKILFFDF18CA
汐止區,房地(土地+建物)+車位,新北市汐止區樟樹二路61~90號,12.74,住,,,1050925,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050810,106.15,2,2,1,有,有,12680000,119454,坡道平面,23.03,0,,RPSNMLNKKILFFDF08CA
汐止區,房地(土地+建物)+車位,新北市汐止區樟樹二路61~90號,12.74,住,,,1051011,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050810,106.15,2,2,1,有,有,12000000,113048,坡道平面,23.03,0,,RPTNMLNKKILFFDF18CA
汐止區,房地(土地+建物)+車位,新北市汐止區樟樹二路31~60號,8.92,住,,,1051010,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050810,79.46000000000001,1,1,1,有,有,8800000,110748,坡道平面,23.03,0,,RPUOMLNKKILFFDF38CA
汐止區,房地(土地+建物),新北市汐止區新台五路一段121~150號,17.19,工,,,1051016,土地1建物1車位0,八層,十層,華廈(10層含以下有電梯),工業用,鋼筋混凝土造,0830810,155.44,3,2,2,有,有,11280000,72568,,0.0,0,含增建或未登記建物。;含增建或未登記建物。,RPTPMLKLKILFFDF18CA
汐止區,房地(土地+建物)+車位,新北市汐止區連峰街5巷1~30號,42.75,,山坡地保育區,丙種建築用地,1051024,土地1建物1車位1,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701231,115.77,3,2,2,有,無,8400000,72558,坡道平面,0.0,0,,RPVPMLQKJILFFDF78CA
萬里區,房地(土地+建物),新北市萬里區仁一街1~30號,18.29,,鄉村區,乙種建築用地,1051103,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680926,63.65,2,2,1,有,無,960000,15082,,0.0,0,,RPQNMLRKJILFFDF18CA
汐止區,房地(土地+建物),新北市汐止區康寧街391~420號,10.66,住,,,1051012,土地1建物1車位0,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0891108,99.93,3,2,2,有,有,9680000,96868,,0.0,0,,RPTPMLQKJILFFDF58CA
萬里區,房地(土地+建物),新北市萬里區翡翠路1~30號,10.75,其他,,,1051025,土地5建物1車位0,一層，二層，三層，四層，五層，六層，七層，八層，九層，十層，十一層，十二層，十三層，十四層，十五層,十八層,套房(1房1廳1衛),商業用,鋼筋混凝土造,0860221,50.720000000000006,1,1,1,有,有,1830000,36073,,0.0,0,,RPWOMLRKJILFFDF88CA
汐止區,房地(土地+建物)+車位,新北市汐止區樟樹一路1巷31~60號,17.76,住,,,1051030,土地1建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870418,123.36,3,2,2,有,有,12500000,117598,坡道平面,28.12,1300000,,RPXNMLRKJILFFDF88CA
汐止區,房地(土地+建物),新北市汐止區水源路二段283巷1~30號,64.8,,山坡地保育區,丙種建築用地,1051002,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860812,147.48,3,2,2,有,有,8500000,57635,,0.0,0,,RPQOMLSKJILFFDF38CA
汐止區,房地(土地+建物),新北市汐止區橫科路4巷1弄1~30號,42.25,住,,,1051003,土地1建物1車位0,三層,三層,公寓(5樓含以下無電梯),住家用,加強磚造,0571130,75.76,2,2,1,有,無,7200000,95037,,0.0,0,,RPPNMLKLJILFFDF47CA
汐止區,房地(土地+建物)+車位,新北市汐止區長興街二段61~90號,27.52,住,,,1051017,土地1建物1車位1,四層,十一層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050919,177.37,3,2,2,有,有,11910000,71077,坡道平面,30.91,1500000,,RPTOMLQKJILFFDF48CA
汐止區,房地(土地+建物)+車位,新北市汐止區長興街二段61~90號,24.42,住,,,1051017,土地1建物1車位1,四層,十一層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050919,164.0,3,2,2,有,有,10750000,70982,坡道平面,32.98,1450000,,RPUOMLQKJILFFDF58CA
汐止區,房地(土地+建物)+車位,新北市汐止區長興街二段61~90號,24.42,住,,,1051031,土地1建物1車位1,十層,十一層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050919,161.93,3,2,2,有,有,10880000,71211,坡道平面,30.91,1550000,,RPVOMLQKJILFFDF68CA
汐止區,房地(土地+建物),新北市汐止區樟樹一路1巷1~30號,5.41,住,,,1051102,土地1建物1車位0,七層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0870418,30.95,1,1,1,有,有,3900000,126010,,0.0,0,,RPVNMLQKJILFFDF58CA
淡水區,土地,鄧公段541~570地號,0.11,其他,,,1051022,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5345,0,,0.0,0,本案係屬於協議價購案件,RPXPMLSKJILFFEF66CA
