rank,country_rank,player_name,country,accuracy,play_count,level,hours,performance_points,ranked_score,ss,s,a,watched_by,total_hits,device
78,4,Spook,United Kingdom,97.93,100461,100,1148,9445,19293363105,115,1052,1236,6058,15762584,tablet
79,1,AtHeoN,Slovakia,99.16,119424,103,1467,9435,44010918613,98,1714,676,5855,29550783,tablet
80,2,Afrodafro,Norway,99.04,80612,101,991,9420,17712187377,58,600,661,822,16563900,tablet
81,4,Dunois,Canada,99.05,93849,101,1148,9415,30462431305,158,1351,1079,13562,16885826,tablet
82,13,Aireu,United States,98.64,122420,101,1355,9411,24186427488,383,1630,452,11377,17214142,tablet
83,6,hshs,Japan,99.04,140394,102,1585,9402,38942112899,227,2145,980,5976,25038748,tablet
84,7,Kynan,France,98.76,172614,101,1960,9386,35398333572,81,1833,1674,32649,29754923,tablet
85,3,EmertxE,China,98.32,138084,102,1810,9382,39763349867,33,1578,1000,7433,35970454,tablet
86,7,zeluaR,Japan,99.12,143840,101,1427,9380,35521247730,473,2319,703,95722,22342802,tablet
87,5,_Ryuk,Canada,98.45,53599,100,603,9380,17302810076,19,686,516,198,8894400,tablet
88,2,DenierNezzar,HongKong,98.64,117530,102,1548,9377,44773030314,92,2000,1215,18928,29719213,tablet
89,6,Identical,Canada,99.24,60515,101,841,9371,20342010974,128,888,618,5757,14176836,tablet
90,11,1E308,South Korea,99.44,13016,100,269,9362,33473225253,123,752,647,4385,5715714,tablet
91,5,bahamete,United Kingdom,98.66,96807,101,1195,9360,21470671410,162,1005,460,69790,21572003,tablet
92,3,Red_Pixel,Russia,98.92,82663,101,997,9358,22956169701,37,652,678,16305,17789909,tablet
93,12,uvrv,South Korea,98.33,72946,101,899,9349,30559228198,60,4368,674,938,15116023,tablet
94,6,Karthy,United Kingdom,99.02,62670,101,1116,9344,37884652564,91,1175,1544,1611,20371885,tablet
95,14,Smoothie World,United States,98.66,74581,100,919,9335,22815568437,104,825,1366,13720,15241486,mouse
96,1,[ Zane ],Belize,98.83,118916,101,1498,9323,38211883962,118,1958,932,2711,23976180,tablet
97,13,Interrobang,South Korea,98.05,71221,100,814,9305,18771923513,76,945,746,36760,12698057,tablet
98,7,Splinter572,Germany,98.83,185067,102,2156,9291,29820445045,677,1737,741,43660,30251174,tablet
99,3,Korilak,Australia,99.30,52944,100,778,9291,11706287563,33,384,431,393,12816470,tablet
100,4,[ ZhengS ],Australia,97.79,130517,101,1669,9287,28191412866,36,1067,724,5532,27500674,tablet
